position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
;T,1,0.5,0.5,0.5,1,1,1
;U,1,0.5,0,1,0.5,1,0
;V,1,0.5,0.75,1,1,1,1
;W,1,0,0.75,1,1,1,1
;X,1,0,0.75,1,1,1,1
;Y,1,0.5,0.5,0.5,0.5,1,0
;Z,1,0,0.75,1,1,1,1
;[,0,0,0.5,0.5,0.5,0,0
A',1,0,0.5,0.5,1,1,1
"A,",1,0.5,0,1,1,1,1
A.,1,0,0.75,1,1,1,1
A/,1,0,0.75,1,1,1,1
A;,1,0,1,1,1,1,1
AA,0,0,1,1,1,0,0
AB,1,0.5,0.5,0.5,0.5,1,0
AC,1,0.5,0,1,0.5,1,0
AD,1,0.5,1,1,1,0,1
AE,1,0.5,0.75,1,0.5,1,0
AF,1,0.5,1,1,1,0,1
AG,1,0.5,0.5,0.5,1,0,1
AH,1,0.5,0.5,0.5,1,1,1
AI,1,0.5,0.75,1,1,1,1
AJ,1,0.5,1,1,1,1,1
AK,1,0.5,1,1,1,1,1
AL,1,0,1,1,1,1,1
AM,1,0.5,0.75,1,1,1,1
AN,1,0.5,0.5,0.5,1,1,1
AO,1,0,0.75,1,1,1,1
AP,1,0,0,1,1,1,1
AQ,0,0,0,1,0.5,0,0
AR,1,0.5,0,1,0.5,1,0
AS,1,0,1,1,1,1,1
AT,1,0.5,0.5,0.5,0.5,1,0
AU,1,0.5,0,1,1,1,1
AV,1,0.5,0.75,1,0.5,1,0
AW,1,0,0.75,1,0.5,0,0
AX,1,0,0.75,1,0.5,0,0
AY,1,0.5,0.5,0.5,1,1,1
AZ,0,0,0.75,1,0.5,0,0
A[,1,0,0.5,0.5,1,1,1
B',1,0.5,0,0,1,1,1
"B,",1,1,0,0.5,1,1,1
B.,1,0.5,0.25,0.5,1,1,1
B/,1,0.5,0.25,0.5,1,1,1
B;,1,0.5,0.5,0.5,1,1,1
BA,1,0.5,0.5,0.5,0.5,1,0
BB,0,1,0,0,1,0,0
BC,1,1,0,0.5,1,0,0
BD,1,1,0.5,0.5,0.5,0,0
BE,1,1,0.25,0.5,0,0,0
BF,0,1,0.5,0.5,0.5,0,0
BG,0,1,0,0,0.5,0,0
BH,1,1,0,0,1,1,1
BI,1,1,0.25,0.5,1,1,1
BJ,1,1,0.5,0.5,1,1,1
BK,1,1,0.5,0.5,1,1,1
BL,1,0.5,0.5,0.5,1,1,1
BM,1,1,0.25,0.5,1,1,1
BN,1,1,0,0,1,1,1
BO,1,0.5,0.25,0.5,1,1,1
BP,1,0.5,0,0.5,1,1,1
BQ,1,0.5,0,0.5,0,1,0
BR,0,1,0,0.5,0,0,0
BS,1,0.5,0.5,0.5,0.5,1,0
BT,0,1,0,0,0,0,0
BU,1,1,0,0.5,1,1,1
BV,0,1,0.25,0.5,1,0,0
BW,1,0.5,0.25,0.5,0,1,0
BX,1,0.5,0.25,0.5,1,0,0
BY,1,1,0,0,1,1,1
BZ,1,0.5,0.25,0.5,1,0,0
B[,1,0.5,0,0,1,1,1
C',1,0.5,0,0.5,1,1,1
"C,",1,1,0,1,1,1,1
C.,1,0.5,0.25,1,1,1,1
C/,1,0.5,0.25,1,1,1,1
C;,1,0.5,0.5,1,1,1,1
CA,1,0.5,0.5,1,0.5,1,0
CB,1,1,0,0.5,1,0,1
CC,0,1,0,1,1,0,0
CD,0,1,0.5,1,0.5,0,0
CE,0,1,0.25,1,0,0,0
CF,1,1,0.5,1,0.5,0,0
CG,1,1,0,0.5,0.5,0,0
CH,1,1,0,0.5,1,1,1
CI,1,1,0.25,1,1,1,1
CJ,1,1,0.5,1,1,1,1
CK,1,1,0.5,1,1,1,1
CL,1,0.5,0.5,1,1,1,1
CM,1,1,0.25,1,1,1,1
CN,1,1,0,0.5,1,1,1
CO,1,0.5,0.25,1,1,1,1
CP,1,0.5,0,1,1,1,1
CQ,1,0.5,0,1,0,1,0
CR,1,1,0,1,0,0,0
CS,1,0.5,0.5,1,0.5,0,0
CT,1,1,0,0.5,0,0,0
CU,1,1,0,1,1,1,1
CV,1,1,0.25,1,1,1,1
CW,1,0.5,0.25,1,0,0,0
CX,1,0.5,0.25,1,1,1,0
CY,1,1,0,0.5,1,1,1
CZ,1,0.5,0.25,1,1,0,0
C[,1,0.5,0,0.5,1,1,1
D',1,0.5,0.5,0.5,1,1,1
"D,",1,1,0,1,1,1,1
D.,1,0.5,0.75,1,1,1,1
D/,1,0.5,0.75,1,1,1,1
D;,1,0.5,1,1,1,1,1
DA,1,0.5,1,1,1,0,0
DB,1,1,0.5,0.5,0.5,0,0
DC,0,1,0,1,0.5,0,0
DD,0,1,1,1,1,0,0
DE,0,1,0.75,1,0.5,0,0
DF,1,1,1,1,1,1,1
DG,1,1,0.5,0.5,1,0,1
DH,1,1,0.5,0.5,1,1,1
DI,1,1,0.75,1,1,1,1
DJ,1,1,1,1,1,1,1
DK,1,1,1,1,1,1,1
DL,1,0.5,1,1,1,1,1
DM,1,1,0.75,1,1,1,1
DN,1,1,0.5,0.5,1,1,1
DO,1,0.5,0.75,1,1,1,1
DP,1,0.5,0,1,1,1,1
DQ,1,0.5,0,1,0.5,1,0
DR,1,1,0,1,0.5,0,0
DS,1,0.5,1,1,1,1,0
DT,1,1,0.5,0.5,0.5,0,0
DU,1,1,0,1,1,1,1
DV,1,1,0.75,1,0.5,0,0
DW,1,0.5,0.75,1,0.5,0,0
DX,1,0.5,0.75,1,0.5,0,0
DY,1,1,0.5,0.5,1,1,1
DZ,1,0.5,0.75,1,0.5,1,0
D[,1,0.5,0.5,0.5,1,1,1
E',1,0.5,0.25,0.5,1,1,1
"E,",1,1,0,1,1,1,1
E.,1,0.5,0.5,1,1,1,1
E/,1,0.5,0.5,1,1,1,1
E;,1,0.5,0.75,1,1,1,1
EA,1,0.5,0.75,1,0.5,1,0
EB,1,1,0.25,0.5,0,0,0
EC,0,1,0,1,0,0,0
ED,0,1,0.75,1,0.5,0,0
EE,0,1,0.5,1,1,0,0
EF,1,1,0.75,1,0.5,0,0
EG,1,1,0.25,0.5,0.5,0,0
EH,1,1,0.25,0.5,1,1,1
EI,1,1,0.5,1,1,1,1
EJ,1,1,0.75,1,1,1,1
EK,1,1,0.75,1,1,1,1
EL,1,0.5,0.75,1,1,1,1
EM,1,1,0.5,1,1,1,1
EN,1,1,0.25,0.5,1,1,1
