position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
PT,1,0.5,0,0.5,1,1,1
PU,1,0.5,0,1,1,0,1
PV,1,0.5,0.25,1,1,1,1
PW,1,0,0.25,1,1,1,1
PX,1,0,0.25,1,1,1,1
PY,1,0.5,0,0.5,1,0,1
PZ,1,0,0.25,1,1,1,1
P[,0,0,0,0.5,1,0,0
Q',1,0,0,0.5,1,1,1
"Q,",1,0.5,0,1,1,1,1
Q.,1,0,0.25,1,1,1,1
Q/,1,0,0.25,1,1,1,1
Q;,1,0,0.5,1,1,1,1
QA,0,0,0.5,1,0.5,0,0
QB,1,0.5,0,0.5,0,1,0
QC,1,0.5,0,1,0,1,0
QD,1,0.5,0.5,1,0.5,1,0
QE,1,0.5,0.25,1,1,0,1
QF,1,0.5,0.5,1,0.5,1,0
QG,1,0.5,0,0.5,0.5,1,0
QH,1,0.5,0,0.5,1,1,1
QI,1,0.5,0.25,1,1,1,1
QJ,1,0.5,0.5,1,1,1,1
QK,1,0.5,0.5,1,1,1,1
QL,1,0,0.5,1,1,1,1
QM,1,0.5,0.25,1,1,1,1
QN,1,0.5,0,0.5,1,1,1
QO,1,0,0.25,1,1,1,1
QP,1,0,0,1,1,1,1
QQ,0,0,0,1,1,0,0
QR,1,0.5,0,1,1,0,1
QS,1,0,0.5,1,0.5,0,0
QT,1,0.5,0,0.5,1,0,1
QU,1,0.5,0,1,1,1,1
QV,1,0.5,0.25,1,0,1,0
QW,1,0,0.25,1,1,1,1
QX,1,0,0.25,1,0,0,0
QY,1,0.5,0,0.5,1,1,1
QZ,0,0,0.25,1,0,0,0
Q[,1,0,0,0.5,1,1,1
R',1,0.5,0,0.5,1,1,1
"R,",1,1,0,1,1,1,1
R.,1,0.5,0.25,1,1,1,1
R/,1,0.5,0.25,1,1,1,1
R;,1,0.5,0.5,1,1,1,1
RA,1,0.5,0.5,1,0.5,1,0
RB,0,1,0,0.5,0,0,0
RC,1,1,0,1,0,0,0
RD,1,1,0.5,1,0.5,0,0
RE,1,1,0.25,1,1,1,0
RF,0,1,0.5,1,0.5,0,0
RG,0,1,0,0.5,0.5,0,0
RH,1,1,0,0.5,1,1,1
RI,1,1,0.25,1,1,1,1
RJ,1,1,0.5,1,1,1,1
RK,1,1,0.5,1,1,1,1
RL,1,0.5,0.5,1,1,1,1
RM,1,1,0.25,1,1,1,1
RN,1,1,0,0.5,1,1,1
RO,1,0.5,0.25,1,1,1,1
RP,1,0.5,0,1,1,1,1
RQ,1,0.5,0,1,1,0,0
RR,0,1,0,1,1,0,0
RS,1,0.5,0.5,1,0.5,1,0
RT,0,1,0,0.5,1,0,0
RU,1,1,0,1,1,1,1
RV,0,1,0.25,1,0,0,0
RW,1,0.5,0.25,1,1,0,0
RX,1,0.5,0.25,1,0,1,0
RY,1,1,0,0.5,1,1,1
RZ,1,0.5,0.25,1,0,1,0
R[,1,0.5,0,0.5,1,1,1
S',1,0,0.5,0.5,1,1,1
"S,",1,0.5,0,1,1,1,1
S.,1,0,0.75,1,1,1,1
S/,1,0,0.75,1,1,1,1
S;,1,0,1,1,1,1,1
SA,1,0,1,1,1,1,0
SB,1,0.5,0.5,0.5,0.5,1,0
SC,1,0.5,0,1,0.5,0,0
SD,1,0.5,1,1,1,1,1
SE,1,0.5,0.75,1,0.5,0,0
SF,1,0.5,1,1,1,0,1
SG,1,0.5,0.5,0.5,1,0,1
SH,1,0.5,0.5,0.5,1,1,1
SI,1,0.5,0.75,1,1,1,1
SJ,1,0.5,1,1,1,1,1
SK,1,0.5,1,1,1,1,1
SL,1,0,1,1,1,1,1
SM,1,0.5,0.75,1,1,1,1
SN,1,0.5,0.5,0.5,1,1,1
SO,1,0,0.75,1,1,1,1
SP,1,0,0,1,1,1,1
SQ,1,0,0,1,0.5,0,0
SR,1,0.5,0,1,0.5,1,0
SS,0,0,1,1,1,0,0
ST,1,0.5,0.5,0.5,0.5,1,0
SU,1,0.5,0,1,1,1,1
SV,1,0.5,0.75,1,0.5,1,0
SW,0,0,0.75,1,0.5,0,0
SX,0,0,0.75,1,0.5,0,0
SY,1,0.5,0.5,0.5,1,1,1
SZ,1,0,0.75,1,0.5,0,0
S[,1,0,0.5,0.5,1,1,1
T',1,0.5,0,0,1,1,1
"T,",1,1,0,0.5,1,1,1
T.,1,0.5,0.25,0.5,1,1,1
T/,1,0.5,0.25,0.5,1,1,1
T;,1,0.5,0.5,0.5,1,1,1
TA,1,0.5,0.5,0.5,0.5,1,0
TB,0,1,0,0,0,0,0
TC,1,1,0,0.5,0,0,0
TD,1,1,0.5,0.5,0.5,0,0
TE,1,1,0.25,0.5,1,0,0
TF,0,1,0.5,0.5,0.5,0,0
TG,0,1,0,0,0.5,0,0
TH,1,1,0,0,1,1,1
TI,1,1,0.25,0.5,1,1,1
TJ,1,1,0.5,0.5,1,1,1
TK,1,1,0.5,0.5,1,1,1
TL,1,0.5,0.5,0.5,1,1,1
TM,1,1,0.25,0.5,1,1,1
TN,1,1,0,0,1,1,1
TO,1,0.5,0.25,0.5,1,1,1
TP,1,0.5,0,0.5,1,1,1
TQ,1,0.5,0,0.5,1,0,0
TR,0,1,0,0.5,1,0,0
TS,1,0.5,0.5,0.5,0.5,1,0
TT,0,1,0,0,1,0,0
TU,1,1,0,0.5,1,1,1
TV,0,1,0.25,0.5,0,0,0
TW,1,0.5,0.25,0.5,1,0,0
TX,1,0.5,0.25,0.5,0,1,0
TY,1,1,0,0,1,1,1
TZ,1,0.5,0.25,0.5,0,1,0
T[,1,0.5,0,0,1,1,1
U',1,0.5,0,0.5,0.5,1,0
"U,",1,1,0,1,0,0,0
U.,1,0.5,0.25,1,0,1,0
U/,1,0.5,0.25,1,0,1,0
U;,1,0.5,0.5,1,0.5,1,0
UA,1,0.5,0.5,1,1,1,1
UB,1,1,0,0.5,1,1,1
UC,1,1,0,1,1,1,1
UD,1,1,0.5,1,1,1,1
UE,1,1,0.25,1,1,1,1
UF,1,1,0.5,1,1,1,1
UG,1,1,0,0.5,1,1,1
UH,0,1,0,0.5,0.5,0,0
UI,1,1,0.25,1,1,1,0
UJ,0,1,0.5,1,0.5,0,0
UK,1,1,0.5,1,0.5,0,0
UL,1,0.5,0.5,1,0.5,1,0
UM,0,1,0.25,1,0,0,0
UN,0,1,0,0.5,0,0,0
UO,1,0.5,0.25,1,1,0,0
UP,1,0.5,0,1,1,0,0
UQ,1,0.5,0,1,1,1,1
UR,1,1,0,1,1,1,1
US,1,0.5,0.5,1,1,1,1
UT,1,1,0,0.5,1,1,1
UU,0,1,0,1,1,0,0
UV,1,1,0.25,1,1,1,1
UW,1,0.5,0.25,1,1,1,1
UX,1,0.5,0.25,1,1,1,1
UY,0,1,0,0.5,1,0,0
UZ,1,0.5,0.25,1,1,1,1
U[,1,0.5,0,0.5,1,0,0
V',1,0.5,0.25,0.5,1,1,1
"V,",1,1,0,1,1,1,1
V.,1,0.5,0.5,1,1,1,1
V/,1,0.5,0.5,1,1,1,1
V;,1,0.5,0.75,1,1,1,1
VA,1,0.5,0.75,1,0.5,1,0
VB,0,1,0.25,0.5,1,0,0
VC,1,1,0,1,1,1,0
VD,1,1,0.75,1,0.5,0,0
VE,1,1,0.5,1,0,0,0
VF,0,1,0.75,1,0.5,0,0
VG,0,1,0.25,0.5,0.5,0,0
VH,1,1,0.25,0.5,1,1,1
VI,1,1,0.5,1,1,1,1
VJ,1,1,0.75,1,1,1,1
VK,1,1,0.75,1,1,1,1
VL,1,0.5,0.75,1,1,1,1
VM,1,1,0.5,1,1,1,1
VN,1,1,0.25,0.5,1,1,1
VO,1,0.5,0.5,1,1,1,1
VP,1,0.5,0,1,1,1,1
VQ,1,0.5,0,1,0,1,0
VR,0,1,0,1,0,0,0
VS,1,0.5,0.75,1,0.5,1,0
VT,0,1,0.25,0.5,0,0,0
VU,1,1,0,1,1,1,1
VV,0,1,0.5,1,1,0,0
VW,1,0.5,0.5,1,0,1,0
VX,1,0.5,0.5,1,1,0,0
VY,1,1,0.25,0.5,1,1,1
VZ,1,0.5,0.5,1,1,0,0
V[,1,0.5,0.25,0.5,1,1,1
W',1,0,0.25,0.5,1,1,1
"W,",1,0.5,0,1,1,1,1
W.,1,0,0.5,1,1,1,1
W/,1,0,0.5,1,1,1,1
W;,1,0,0.75,1,1,1,1
WA,1,0,0.75,1,0.5,0,0
WB,1,0.5,0.25,0.5,0,1,0
WC,1,0.5,0,1,0,0,0
WD,1,0.5,0.75,1,0.5,0,0
WE,1,0.5,0.5,1,1,1,1
WF,1,0.5,0.75,1,0.5,1,0
WG,1,0.5,0.25,0.5,0.5,1,0
WH,1,0.5,0.25,0.5,1,1,1
WI,1,0.5,0.5,1,1,1,1
WJ,1,0.5,0.75,1,1,1,1
WK,1,0.5,0.75,1,1,1,1
WL,1,0,0.75,1,1,1,1
WM,1,0.5,0.5,1,1,1,1
WN,1,0.5,0.25,0.5,1,1,1
WO,1,0,0.5,1,1,1,1
WP,1,0,0,1,1,1,1
WQ,1,0,0,1,1,1,0
WR,1,0.5,0,1,1,0,1
WS,0,0,0.75,1,0.5,0,0
WT,1,0.5,0.25,0.5,1,0,1
WU,1,0.5,0,1,1,1,1
WV,1,0.5,0.5,1,0,1,0
WW,0,0,0.5,1,1,0,0
WX,0,0,0.5,1,0,0,0
WY,1,0.5,0.25,0.5,1,1,1
WZ,1,0,0.5,1,0,0,0
W[,1,0,0.25,0.5,1,1,1
X',1,0,0.25,0.5,1,1,1
"X,",1,0.5,0,1,1,1,1
X.,1,0,0.5,1,1,1,1
X/,1,0,0.5,1,1,1,1
X;,1,0,0.75,1,1,1,1
XA,1,0,0.75,1,0.5,0,0
XB,1,0.5,0.25,0.5,1,0,1
XC,1,0.5,0,1,1,1,1
XD,1,0.5,0.75,1,0.5,0,0
XE,1,0.5,0.5,1,0,0,0
XF,1,0.5,0.75,1,0.5,1,0
XG,1,0.5,0.25,0.5,0.5,1,0
XH,1,0.5,0.25,0.5,1,1,1
XI,1,0.5,0.5,1,1,1,1
XJ,1,0.5,0.75,1,1,1,1
XK,1,0.5,0.75,1,1,1,1
XL,1,0,0.75,1,1,1,1
XM,1,0.5,0.5,1,1,1,1
XN,1,0.5,0.25,0.5,1,1,1
XO,1,0,0.5,1,1,1,1
XP,1,0,0,1,1,1,1
XQ,1,0,0,1,0,0,0
XR,1,0.5,0,1,0,1,0
XS,0,0,0.75,1,0.5,0,0
XT,1,0.5,0.25,0.5,0,1,0
XU,1,0.5,0,1,1,1,1
XV,1,0.5,0.5,1,1,0,1
XW,0,0,0.5,1,0,0,0
XX,0,0,0.5,1,1,0,0
XY,1,0.5,0.25,0.5,1,1,1
XZ,1,0,0.5,1,1,1,0
X[,1,0,0.25,0.5,1,1,1
Y',1,0.5,0,0,0.5,1,0
"Y,",1,1,0,0.5,0,0,0
Y.,1,0.5,0.25,0.5,0,1,0
Y/,1,0.5,0.25,0.5,0,1,0
Y;,1,0.5,0.5,0.5,0.5,1,0
YA,1,0.5,0.5,0.5,1,1,1
YB,1,1,0,0,1,1,1
YC,1,1,0,0.5,1,1,1
YD,1,1,0.5,0.5,1,1,1
YE,1,1,0.25,0.5,1,1,1
YF,1,1,0.5,0.5,1,1,1
YG,1,1,0,0,1,1,1
YH,0,1,0,0,0.5,0,0
YI,1,1,0.25,0.5,1,0,0
YJ,0,1,0.5,0.5,0.5,0,0
YK,1,1,0.5,0.5,0.5,0,0
YL,1,0.5,0.5,0.5,0.5,1,0
YM,0,1,0.25,0.5,0,0,0
YN,0,1,0,0,0,0,0
YO,1,0.5,0.25,0.5,1,0,0
YP,1,0.5,0,0.5,1,0,0
YQ,1,0.5,0,0.5,1,1,1
YR,1,1,0,0.5,1,1,1
YS,1,0.5,0.5,0.5,1,1,1
YT,1,1,0,0,1,1,1
YU,0,1,0,0.5,1,0,0
YV,1,1,0.25,0.5,1,1,1
YW,1,0.5,0.25,0.5,1,1,1
YX,1,0.5,0.25,0.5,1,1,1
YY,0,1,0,0,1,0,0
YZ,1,0.5,0.25,0.5,1,1,1
Y[,1,0.5,0,0,1,0,0
Z',1,0,0.25,0.5,1,1,1
"Z,",1,0.5,0,1,1,1,1
Z.,1,0,0.5,1,1,1,1
Z/,1,0,0.5,1,1,1,1
Z;,1,0,0.75,1,1,1,1
ZA,0,0,0.75,1,0.5,0,0
ZB,1,0.5,0.25,0.5,1,0,1
ZC,1,0.5,0,1,1,0,1
ZD,1,0.5,0.75,1,0.5,1,0
ZE,1,0.5,0.5,1,0,1,0
ZF,1,0.5,0.75,1,0.5,1,0
ZG,1,0.5,0.25,0.5,0.5,1,0
ZH,1,0.5,0.25,0.5,1,1,1
ZI,1,0.5,0.5,1,1,1,1
ZJ,1,0.5,0.75,1,1,1,1
ZK,1,0.5,0.75,1,1,1,1
ZL,1,0,0.75,1,1,1,1
ZM,1,0.5,0.5,1,1,1,1
ZN,1,0.5,0.25,0.5,1,1,1
ZO,1,0,0.5,1,1,1,1
ZP,1,0,0,1,1,1,1
ZQ,0,0,0,1,0,0,0
ZR,1,0.5,0,1,0,1,0
ZS,1,0,0.75,1,0.5,0,0
ZT,1,0.5,0.25,0.5,0,1,0
ZU,1,0.5,0,1,1,1,1
ZV,1,0.5,0.5,1,1,0,1
ZW,1,0,0.5,1,0,0,0
ZX,1,0,0.5,1,1,1,1
ZY,1,0.5,0.25,0.5,1,1,1
ZZ,0,0,0.5,1,1,0,0
Z[,1,0,0.25,0.5,1,1,1
[',0,0,0,0,0.5,0,0
"[,",1,0.5,0,0.5,0,1,0
[.,1,0,0.25,0.5,0,0,0
[/,0,0,0.25,0.5,0,0,0
[;,0,0,0.5,0.5,0.5,0,0
[A,1,0,0.5,0.5,1,1,1
[B,1,0.5,0,0,1,1,1
[C,1,0.5,0,0.5,1,1,1
[D,1,0.5,0.5,0.5,1,1,1
[E,1,0.5,0.25,0.5,1,1,1
[F,1,0.5,0.5,0.5,1,1,1
[G,1,0.5,0,0,1,1,1
[H,1,0.5,0,0,0.5,1,0
[I,1,0.5,0.25,0.5,1,0,1
[J,1,0.5,0.5,0.5,0.5,1,0
[K,1,0.5,0.5,0.5,0.5,1,0
[L,1,0,0.5,0.5,0.5,0,0
[M,1,0.5,0.25,0.5,0,1,0
[N,1,0.5,0,0,0,1,0
[O,1,0,0.25,0.5,1,0,1
[P,0,0,0,0.5,1,0,0
[Q,1,0,0,0.5,1,1,1
[R,1,0.5,0,0.5,1,1,1
[S,1,0,0.5,0.5,1,1,1
[T,1,0.5,0,0,1,1,1
[U,1,0.5,0,0.5,1,0,1
[V,1,0.5,0.25,0.5,1,1,1
[W,1,0,0.25,0.5,1,1,1
[X,1,0,0.25,0.5,1,1,1
[Y,1,0.5,0,0,1,0,1
[Z,1,0,0.25,0.5,1,1,1
[[,0,0,0,0,1,0,0
