key_pair,comfort_score,distance_interval,distance_return,distance_setup,distance_total,dvorak7_columns,dvorak7_distribution,dvorak7_inward,dvorak7_middle,dvorak7_remote,dvorak7_score,dvorak7_strength,dvorak7_vspan,engram7_hspan,engram7_load,engram7_position,engram7_score,engram7_sequence,engram7_strength,engram7_stretch,engram7_vspan,time_interval,time_return,time_setup,time_total,comfort_score_normalized,distance_interval_normalized,distance_return_normalized,distance_setup_normalized,distance_total_normalized,dvorak7_columns_normalized,dvorak7_distribution_normalized,dvorak7_inward_normalized,dvorak7_middle_normalized,dvorak7_remote_normalized,dvorak7_score_normalized,dvorak7_strength_normalized,dvorak7_vspan_normalized,engram7_hspan_normalized,engram7_load_normalized,engram7_position_normalized,engram7_score_normalized,engram7_sequence_normalized,engram7_strength_normalized,engram7_stretch_normalized,engram7_vspan_normalized,time_interval_normalized,time_return_normalized,time_setup_normalized,time_total_normalized
'H,-1.442261,19.0,38.0,19.0,76.0,0.0,0.5,1.0,1.0,1.0,5.0,0.5,1.0,0.0,1.0,0.0,3.5,1.0,0.5,0.0,1.0,448.0,200.0,211.5,859.5,0.038493,0.345455,0.542857,0.542857,0.562963,0.0,0.5,1.0,1.0,1.0,0.714286,0.5,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.994286,0.0,0.0575,0.425735
'I,-1.25098,19.646883,38.646883,19.0,77.293765,0.5,0.5,1.0,0.5,1.0,4.5,0.5,0.5,1.0,1.0,0.25,3.75,0.0,0.5,0.5,0.5,448.0,203.4,211.5,871.0,0.166014,0.357216,0.552098,0.542857,0.572546,0.5,0.5,1.0,0.5,1.0,0.642857,0.5,0.5,1.0,1.0,0.25,0.535714,0.0,0.5,0.5,0.5,0.994286,0.017,0.0575,0.442647
'J,-0.836557,0.0,19.0,19.0,38.0,0.5,0.5,1.0,1.0,1.0,5.5,0.5,1.0,0.0,1.0,0.5,4.5,1.0,0.5,0.5,1.0,448.0,244.5,211.5,904.0,0.442295,0.0,0.271429,0.542857,0.281481,0.5,0.5,1.0,1.0,1.0,0.785714,0.5,1.0,0.0,1.0,0.5,0.642857,1.0,0.5,0.5,1.0,0.994286,0.2225,0.0575,0.491176
'K,-0.953484,0.0,19.0,19.0,38.0,0.5,0.5,1.0,1.0,1.0,5.5,0.5,1.0,0.0,1.0,0.5,4.5,1.0,0.5,0.5,1.0,448.0,200.0,211.5,865.9,0.364344,0.0,0.271429,0.542857,0.281481,0.5,0.5,1.0,1.0,1.0,0.785714,0.5,1.0,0.0,1.0,0.5,0.642857,1.0,0.5,0.5,1.0,0.994286,0.0,0.0575,0.435147
'L,-1.030731,0.0,19.0,19.0,38.0,0.5,0.5,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.5,4.0,1.0,0.0,0.5,1.0,448.0,211.5,211.5,871.0,0.312846,0.0,0.271429,0.542857,0.281481,0.5,0.5,1.0,1.0,0.0,0.571429,0.0,1.0,0.0,1.0,0.5,0.571429,1.0,0.0,0.5,1.0,0.994286,0.0575,0.0575,0.442647
'M,-1.095099,21.470911,40.470911,19.0,80.941821,0.5,0.5,1.0,0.5,1.0,4.5,0.5,0.5,1.0,1.0,0.25,3.75,0.0,0.5,0.5,0.5,448.0,200.0,211.5,894.1,0.269934,0.39038,0.578156,0.542857,0.599569,0.5,0.5,1.0,0.5,1.0,0.642857,0.5,0.5,1.0,1.0,0.25,0.535714,0.0,0.5,0.5,0.5,0.994286,0.0,0.0575,0.476618
'N,-1.442261,21.023796,40.023796,19.0,80.047592,0.0,0.5,1.0,0.5,1.0,4.0,0.5,0.5,1.0,1.0,0.0,3.0,0.0,0.5,0.0,0.5,448.0,227.4,211.5,886.9,0.038493,0.382251,0.571769,0.542857,0.592945,0.0,0.5,1.0,0.5,1.0,0.571429,0.5,0.5,1.0,1.0,0.0,0.428571,0.0,0.5,0.0,0.5,0.994286,0.137,0.0575,0.466029
'O,-1.306993,19.646883,38.646883,19.0,77.293765,0.5,0.5,1.0,0.5,0.0,3.0,0.0,0.5,0.0,1.0,0.25,2.25,0.0,0.0,0.5,0.5,448.0,233.1,211.5,892.6,0.128671,0.357216,0.552098,0.542857,0.572546,0.5,0.5,1.0,0.5,0.0,0.428571,0.0,0.5,0.0,1.0,0.25,0.321429,0.0,0.0,0.5,0.5,0.994286,0.1655,0.0575,0.474412
'P,-1.442261,30.610456,19.646883,19.0,69.257338,0.5,0.0,0.0,0.5,0.0,1.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,448.0,200.0,211.5,859.5,0.038493,0.556554,0.28067,0.542857,0.513017,0.5,0.0,0.0,0.5,0.0,0.214286,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.5,0.5,0.994286,0.0,0.0575,0.425735
'Q,-0.776742,19.646883,38.646883,19.0,77.293765,0.5,1.0,1.0,0.5,1.0,5.0,0.0,1.0,1.0,1.0,0.0,4.5,1.0,0.0,0.5,1.0,448.0,218.4,211.5,877.9,0.482172,0.357216,0.552098,0.542857,0.572546,0.5,1.0,1.0,0.5,1.0,0.714286,0.0,1.0,1.0,1.0,0.0,0.642857,1.0,0.0,0.5,1.0,0.994286,0.092,0.0575,0.452794
'R,-0.589028,19.646883,38.646883,19.0,77.293765,0.5,1.0,1.0,0.5,1.0,5.5,0.5,1.0,1.0,1.0,0.0,5.0,1.0,0.5,0.5,1.0,448.0,200.0,211.5,873.1,0.607315,0.357216,0.552098,0.542857,0.572546,0.5,1.0,1.0,0.5,1.0,0.785714,0.5,1.0,1.0,1.0,0.0,0.714286,1.0,0.5,0.5,1.0,0.994286,0.0,0.0575,0.445735
'S,-0.555098,0.0,19.0,19.0,38.0,0.5,1.0,1.0,1.0,1.0,5.5,0.0,1.0,1.0,1.0,0.5,5.0,1.0,0.0,0.5,1.0,448.0,200.0,211.5,871.0,0.629935,0.0,0.271429,0.542857,0.281481,0.5,1.0,1.0,1.0,1.0,0.785714,0.0,1.0,1.0,1.0,0.5,0.714286,1.0,0.0,0.5,1.0,0.994286,0.0,0.0575,0.442647
'T,-0.836557,23.600847,42.600847,19.0,85.201695,0.0,1.0,1.0,0.5,1.0,5.0,0.5,1.0,1.0,1.0,0.0,4.5,1.0,0.5,0.0,1.0,448.0,200.0,211.5,859.5,0.442295,0.429106,0.608584,0.542857,0.631124,0.0,1.0,1.0,0.5,1.0,0.714286,0.5,1.0,1.0,1.0,0.0,0.642857,1.0,0.5,0.0,1.0,0.994286,0.0,0.0575,0.425735
'U,-1.242302,19.646883,38.646883,19.0,77.293765,0.5,0.5,1.0,0.5,1.0,4.5,0.5,0.5,1.0,1.0,0.0,3.5,0.0,0.5,0.5,0.5,448.0,213.6,211.5,873.1,0.171799,0.357216,0.552098,0.542857,0.572546,0.5,0.5,1.0,0.5,1.0,0.642857,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.994286,0.068,0.0575,0.445735
'V,-0.685918,21.470911,40.470911,19.0,80.941821,0.5,1.0,1.0,0.5,1.0,5.5,0.5,1.0,1.0,1.0,0.25,5.25,1.0,0.5,0.5,1.0,448.0,234.6,211.5,894.1,0.542721,0.39038,0.578156,0.542857,0.599569,0.5,1.0,1.0,0.5,1.0,0.785714,0.5,1.0,1.0,1.0,0.25,0.75,1.0,0.5,0.5,1.0,0.994286,0.173,0.0575,0.476618
'W,-0.689815,19.646883,38.646883,19.0,77.293765,0.5,1.0,1.0,0.5,1.0,5.0,0.0,1.0,1.0,1.0,0.25,4.75,1.0,0.0,0.5,1.0,448.0,200.0,211.5,892.6,0.540123,0.357216,0.552098,0.542857,0.572546,0.5,1.0,1.0,0.5,1.0,0.714286,0.0,1.0,1.0,1.0,0.25,0.678571,1.0,0.0,0.5,1.0,0.994286,0.0,0.0575,0.474412
'X,-0.828168,21.470911,40.470911,19.0,80.941821,0.5,1.0,1.0,0.5,1.0,5.0,0.0,1.0,1.0,1.0,0.25,4.75,1.0,0.0,0.5,1.0,448.0,200.0,211.5,859.5,0.447888,0.39038,0.578156,0.542857,0.599569,0.5,1.0,1.0,0.5,1.0,0.714286,0.0,1.0,1.0,1.0,0.25,0.678571,1.0,0.0,0.5,1.0,0.994286,0.0,0.0575,0.425735
'Y,-1.442261,30.610456,49.610456,19.0,99.220911,0.0,0.5,1.0,0.5,1.0,4.0,0.5,0.5,1.0,1.0,0.0,3.0,0.0,0.5,0.0,0.5,448.0,200.0,211.5,859.5,0.038493,0.556554,0.708721,0.542857,0.73497,0.0,0.5,1.0,0.5,1.0,0.571429,0.5,0.5,1.0,1.0,0.0,0.428571,0.0,0.5,0.0,0.5,0.994286,0.0,0.0575,0.425735
'Z,-0.803329,21.470911,40.470911,19.0,80.941821,0.5,1.0,1.0,0.5,1.0,5.0,0.0,1.0,1.0,1.0,0.25,4.75,1.0,0.0,0.5,1.0,448.0,400.0,211.5,1059.5,0.464448,0.39038,0.578156,0.542857,0.599569,0.5,1.0,1.0,0.5,1.0,0.714286,0.0,1.0,1.0,1.0,0.25,0.678571,1.0,0.0,0.5,1.0,0.994286,1.0,0.0575,0.719853
'[,-1.442261,19.646883,23.600847,19.0,62.24773,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,448.0,200.0,211.5,859.5,0.038493,0.357216,0.337155,0.542857,0.461094,0.0,0.0,0.0,0.5,0.0,0.142857,0.0,0.5,0.0,0.0,0.0,0.071429,0.0,0.0,0.0,0.5,0.994286,0.0,0.0575,0.425735
",'",-1.401832,19.0,40.470911,21.470911,80.941821,0.5,0.5,0.0,0.5,1.0,3.5,0.5,0.5,1.0,1.0,0.0,3.5,0.0,0.5,0.5,0.5,448.0,200.0,213.9,861.9,0.065445,0.345455,0.578156,0.613455,0.599569,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.994286,0.0,0.0695,0.429265
",,",-0.832472,0.0,21.470911,21.470911,42.941821,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,161.0,200.0,213.9,664.677475,0.445018,0.0,0.306727,0.613455,0.318088,1.0,0.0,0.0,0.0,0.0,0.428571,1.0,1.0,0.0,0.0,0.0,0.428571,0.0,1.0,1.0,1.0,0.174286,0.0,0.0695,0.139232
",.",-1.093728,21.470911,42.941821,21.470911,85.883642,1.0,0.5,0.0,0.0,0.0,3.0,0.5,1.0,1.0,1.0,0.25,4.75,0.0,0.5,1.0,1.0,448.0,200.0,213.9,863.033916,0.270848,0.39038,0.613455,0.613455,0.636175,1.0,0.5,0.0,0.0,0.0,0.428571,0.5,1.0,1.0,1.0,0.25,0.678571,0.0,0.5,1.0,1.0,0.994286,0.0,0.0695,0.430932
