position_pair,score,uncertainty
po,-0.721770037,0.041077279
",j",-0.724770962,0.101039795
ul,-0.725428382,0.06925461
ko,-0.727123438,0.089011916
"u;",-0.734845754,0.066028286
"l,",-0.741245483,0.08000444
"m,",-0.747058408,0.060416608
".j",-0.751637776,0.063535245
ml,-0.756674952,0.066810765
pk,-0.761218433,0.057703965
ip,-0.76259479,0.053448033
up,-0.76620201,0.053586702
"i;",-0.768976639,0.072064805
jp,-0.784202436,0.064553498
im,-0.79056984,0.112952227
"m;",-0.792833701,0.066175833
";o",-0.795578021,0.094406676
";,",-0.80596001,0.059680618
"k,",-0.80667013,0.117762515
",k",-0.806695148,0.117762514
"m.",-0.81467137,0.061734082
pl,-0.815933906,0.084239359
"m/",-0.815948534,0.062679111
pp,-0.816573755,0.091946699
"/k",-0.820666138,0.066386683
ol,-0.825222711,0.127733628
"j/",-0.825713725,0.068521752
lo,-0.82622612,0.127733404
".,",-0.832896537,0.05308608
op,-0.83516014,0.056171937
"/,",-0.836464913,0.052942934
"j,",-0.838232775,0.108060093
mi,-0.854422711,0.119491
".k",-0.860080939,0.102843963
"..",-0.863442268,0.096046639
"j.",-0.86518616,0.074193468
"//",-0.8660094,0.097526061
",l",-0.866090366,0.088694301
kp,-0.874548266,0.069265368
"o;",-0.880711054,0.101944986
";.",-0.888234891,0.083369554
um,-0.895917075,0.140906372
om,-0.899820741,0.096155166
mu,-0.901856936,0.140904936
"/.",-0.904065163,0.055694029
",;",-0.911500804,0.070973471
lp,-0.928690841,0.09254306
"/l",-0.928927037,0.1050681
"k/",-0.934053318,0.076649431
".l",-0.942071534,0.119698832
"l.",-0.942075541,0.119698832
",.",-0.948580961,0.065467676
",/",-0.94979754,0.065352107
"k.",-0.973467065,0.109748915
",i",-0.980558104,0.142006543
"i,",-0.995678364,0.141948185
".;",-1.000690046,0.091752221
pm,-1.007513644,0.094171334
"/;",-1.00878612,0.121992818
";/",-1.00991792,0.121992652
mo,-1.013209253,0.103507293
"o,",-1.01413941,0.114934372
"./",-1.017454675,0.067600063
";p",-1.029579231,0.130571184
"p;",-1.029760876,0.130571182
"l/",-1.042320808,0.111835814
",u",-1.052470129,0.139791262
"/u",-1.05551273,0.10113659
"/i",-1.10842785,0.11260283
".u",-1.110188733,0.112146036
mp,-1.120904545,0.101667024
",o",-1.127575507,0.121152192
".i",-1.132426501,0.140141305
"p,",-1.167640278,0.100314319
"u,",-1.168297,0.144944471
"u/",-1.168863305,0.108150605
".o",-1.172290079,0.143491751
"o.",-1.172308992,0.143491751
"/o",-1.203171039,0.141781416
"p.",-1.215702473,0.118446951
"u.",-1.223479533,0.11851024
"i/",-1.225743013,0.118941726
"i.",-1.229122866,0.145297459
",p",-1.28055799,0.107382069
"/p",-1.307494871,0.145717548
"p/",-1.307497683,0.145717548
"o/",-1.316579975,0.146866993
".p",-1.329067233,0.124489453
