items,score
E,169540585
A,155261246
O,114162756
N,91757262
I,85877478
S,85434855
R,83685037
L,71380359
D,63808304
C,56546911
T,55938235
U,52510166
M,34957958
P,34360294
B,15959118
G,14964467
V,12628219
Q,11205355
Y,10437289
H,10254596
F,10147320
J,5919395
Z,4900008
X,2224153
K,982042
W,584461
