item,score
e,445000000000
t,331000000000
a,287000000000
o,272000000000
i,270000000000
n,258000000000
s,232000000000
r,224000000000
h,180000000000
l,145000000000
d,136000000000
c,119000000000
u,97273082907
m,89506734085
f,85635440629
p,76112599849
g,66615316232
w,59712390260
y,59331661972
b,52905544693
v,37532682260
k,19261229433
x,8369138754
j,5657910830
q,4292916949
z,3205398166
